file_id,gap_index,gap_start_ms,gap_end_ms,gap_ms,gap_sec,prev_speaker,next_speaker,speaker_change,prev_duration_sec,next_duration_sec,prev_text_len,next_text_len,prev_word_count,next_word_count,prev_avg_conf,prev_last_conf,next_avg_conf,prev_is_question,next_is_question,prev_text,next_text
0379,59,328730,341385,12655,12.655,SPEAKER_1,SPEAKER_0,True,7.86,2.5,51,26,13,7,0.9383846153846154,0.992,0.8818571428571429,False,True,그냥 불안해요. 그때 일이 엄마나 아빠 귀에 들어가면 어떡하지? 이런 생각 때문에 무서워요.,모르겠어요. 아직 해보고 싶은 일이 없는 거야?
3706,89,433776,445550,11774,11.774,SPEAKER_0,SPEAKER_0,False,6.916,3.94,60,34,16,9,0.975125,0.996,0.8971111111111111,True,True,나의 신체부위를 사진 영상을 찍어 어디에 올리거나 보낸 적이 있나요? 누가 그렇게 해달라고 한 적이 있나요?,가족들끼리 소리를 지르면서 싸우는 걸 듣거나 본 적이 있나요?
5194,92,657481,668415,10934,10.934,SPEAKER_0,SPEAKER_0,False,2.661,2.66,27,25,9,7,0.9341111111111111,0.977,0.9462857142857143,True,True,주변 어른 중에 나를 때린 적이 있는 사람 있어?,없어요. 혼날 땐 어떻게 혼나? 맞지는 않아?
5194,100,718275,728830,10555,10.555,SPEAKER_0,SPEAKER_0,False,3.62,3.3,33,34,7,10,0.9128571428571428,0.491,0.9299999999999999,True,True,내가 싫다는데도 계속해서 연락하거나 따라다니는 사람이 있어?,집에서 어른들끼리 큰 소리로 싸우는 걸 듣거나 본 적이 있어?
5194,102,734225,742925,8700,8.7,SPEAKER_0,SPEAKER_0,False,0.5,2.98,4,27,1,7,0.993,0.993,0.9401428571428572,False,False,없어요.,친구들이 나를 놀리거나 괴롭힌다고 느낀 적이 있어
5194,42,293520,301425,7905,7.905,SPEAKER_0,SPEAKER_0,False,2.19,0.98,26,7,7,2,0.9865714285714285,0.922,0.997,False,False,아빠의 표정을 볼 때 기분이 어때? 안타까워요.,아빠와 사이가
5194,89,629640,637445,7805,7.805,SPEAKER_0,SPEAKER_0,False,4.26,4.58,42,29,11,7,0.9375454545454546,0.988,0.9917142857142857,True,True,없어요. 집에서 쫓아내겠다고 말하거나 어디에 가두고 못 나오게 한 적 있어?,아니요. 마음이 힘들 때 가족에게 힘들다고 이야기해?
1112,90,612445,619900,7455,7.455,SPEAKER_0,SPEAKER_0,False,6.1,1.3,41,11,11,3,0.9356363636363636,0.836,0.8526666666666667,True,True,내가 원하지 않는데도 누군가가 내 몸을 만지거나 보여달라고 한 적 있어요?,네. 누가 그랬나요?
1354,44,183330,190694,7364,7.364,SPEAKER_0,SPEAKER_0,False,1.061,3.941,7,28,2,7,0.993,0.986,0.9734285714285714,True,False,이유가 뭐야?,집에서 주로 나를 돌봐주는 어른은 누구야? 엄마요.
3706,94,466085,473360,7275,7.275,SPEAKER_0,SPEAKER_0,False,2.02,4.58,17,43,4,12,0.99325,0.99,0.98225,True,True,때 마음이 복잡하거나 힘든가요?,안 좋은 기억 때문에 괴로워서 스스로를 해치고 싶은 생각을 해본 적이 있나요?
0005,41,192420,199694,7274,7.274,SPEAKER_1,SPEAKER_1,False,9.725,0.501,73,4,18,1,0.9371111111111111,0.887,0.805,False,False,"제가 성격이 좀 그래요. 친구들이랑 같이 지내는게 어색하고, 다가오는 친구들한테도 저도 모르게 거리를 두고 자꾸 피하는 것 같아요.",좋아요.
