file_id,segment_count,max_gap_ms,max_gap_sec,gaps_over_3s,gaps_over_5s,gaps_over_7s,prev_text,next_text
0379,121,12655,12.655,48,4,1,그냥 불안해요. 그때 일이 엄마나 아빠 귀에 들어가면 어떡하지? 이런 생각 때문에 무서워요.,모르겠어요. 아직 해보고 싶은 일이 없는 거야?
3706,109,11774,11.774,4,2,2,나의 신체부위를 사진 영상을 찍어 어디에 올리거나 보낸 적이 있나요? 누가 그렇게 해달라고 한 적이 있나요?,가족들끼리 소리를 지르면서 싸우는 걸 듣거나 본 적이 있나요?
5194,127,10934,10.934,123,57,5,주변 어른 중에 나를 때린 적이 있는 사람 있어?,없어요. 혼날 땐 어떻게 혼나? 맞지는 않아?
1112,127,7455,7.455,85,13,3,내가 원하지 않는데도 누군가가 내 몸을 만지거나 보여달라고 한 적 있어요?,네. 누가 그랬나요?
1354,95,7364,7.364,13,5,1,이유가 뭐야?,집에서 주로 나를 돌봐주는 어른은 누구야? 엄마요.
0005,112,7274,7.274,5,1,1,"제가 성격이 좀 그래요. 친구들이랑 같이 지내는게 어색하고, 다가오는 친구들한테도 저도 모르게 거리를 두고 자꾸 피하는 것 같아요.",좋아요.
1786,104,6300,6.3,27,3,0,자고 일어나면 몸 상태는 어떤가요?,괜찮아요. 평소에 잠들기 힘들거나 잠자는 중간에 자주 깨나요?
2560,112,5833,5.833,42,2,0,내가 원하지 않는데 누군가가 내 몸을 만지거나 보여달라고 한 적 있어요?,없어요. 성적인 목적으로 나의 신체부위를 찍어 누구에게 보낸 적 있나요?
2315,100,5740,5.74,44,3,0,담임 선생님을 좋아하나요?,좋아해요. 어떤 이유로 그런가요?
1136,102,5445,5.445,46,2,0,부모님은 좀 싸우지만 엄마가 절 사랑하니까요.,커서 어떤 사람이 되고 싶어?
3696,106,5374,5.374,8,1,0,형제자매가 있나요?,없어요. 친구들과 주로 뭐 하고 놀아요?
3891,114,5260,5.26,49,1,0,저는 혼자잖아요.,커서 어떤 사람이 되고 싶은지 꿈이 무엇인지 이야기해 줄래요?
0184,115,5155,5.155,7,1,0,아플 때 어른들이 병원에 데려가지 않은 적 있어? 없어요.,운동회나 수업 청강 같은 학교 행사에 잘 오시는 편이야?
0006,158,5115,5.115,22,1,0,누구인가요?,엄마요. 그 어른이 최근에도 때리나요?
5069,110,5100,5.1,30,1,0,주위 어른들 중 친구를 때린 사람이 있었어?,아니요. 혼날 때는 주로 어떻게 혼나?
5036,112,5014,5.014,6,1,0,친구가 싫다는데도 계속 연락하거나 따라다니는 사람이 있어? 없어요.,가족들끼리 소리를 지르면서 싸우는걸 듣거나 본적있어?
3821,111,4795,4.795,53,0,0,내가 무엇을 하려고 하면 무조건 안 된다고 하지 말라고 하거나 하기 싫은데도 무조건 하라고 할 때가 있나요?,제가 동생들 돌보기가 힘들다고 얘기해 봤는데 자기한테 말하지 말고 그냥 알아서 하라고 다 제 책임이라고 그랬어요. 무조건 제가 해야 하는 일이래요.
5058,108,4779,4.779,2,0,0,미안해요.,형제자매가 있어?
2677,108,4620,4.62,6,0,0,어른들이 학부모상담 같은 학교 행사에 잘 오셔,네 거의 항상 와요.
0216,79,4604,4.604,9,0,0,친구들이 나를 자주 놀리거나 괴롭힌다고 느낀 적이 있나요?,없어요. 어떨 때 마음이 복잡하거나 힘들까?
5113,120,4405,4.405,84,0,0,아까도 말했던 것 같은데요 엄마가 아무것도 안 하고 이상하다니까요,친구가 뭘 할 때 무조건 안된다고 하거나 무조건 하라고 할 때가 있어?
3242,119,4245,4.245,14,0,0,옷이나 신발 사이즈가 작은 걸 입거나 신고 다닌 적이 있나요?,없어요. 인터넷이나 휴대전화를 가지고 노는 시간은 하루에 몇 시간 정도인가요?
0004,85,4124,4.124,13,0,0,일주일 전에는 커다란 플라스틱 칼로 머리랑 발을 때려서 이마가 찢어졌어요.,내가 원하지 않는데 누가 내 몸을 만지거나 보여달라고 한 적이 있어요?
2076,106,3980,3.98,4,0,0,어른들이 나를 어디 가두고 못 나오게 한 적이 있나요?,아니요. 다른 사람들 앞에서도 혼날 때가 또 있었나요?
3316,97,3425,3.425,1,0,0,내가 싫다는데도 계속해서 연락하거나 따라다니는 사람이 있나요?,없을걸요? 시설에서 어른들끼리 소리 지르면서 싸우는 걸 듣거나 본 적이 있나요?
3731,109,3419,3.419,1,0,0,몸이 아플 때 어른들이 병원에 데려가지 않았던 적이 있어?,아니요. 깨끗하지 않은 옷이나 안 맞는 옷을 입고 다닌 적 있어?
2674,111,3340,3.34,5,0,0,"네, 할아버지가 늦게 들어왔다고 뭐라 해서 기분이 안 좋았어요. 다른 친구들은 통금이 열한 시인데, 저만 일곱 시인 게 만 일곱 시인 게 짜증 나요.",내가 무엇을 하려고 하면 무조건 안된다고 하거나 하기 싫은데도 무조건 하라고 할 때가 있나요?
0002,74,3259,3.259,3,0,0,배 아파서 병원도 갔고 멍도 들고 병원 갔을 때 입원도 했었어요.,누가 소중한 부위를 만지거나 보여 달라고 한 적 있어요?
2637,107,2860,2.86,0,0,0,제가 이기면 뿌듯하고 즐거워요.,최근 일주일 동안 짜증이 나 화가 난 적 있어?
0018,96,2060,2.06,0,0,0,아뇨 없어요.,어른들이 운동회나 창간 수업 또는 학부모 상담 같은 학교 행사에 잘 오시니 할머니가
